category,item,note
重要文件,護照 (效期6個月以上),隨身攜帶，建議多印一份影本備用
重要文件,台灣駕照正本 (必備),OTS租車嚴格檢查，缺一不可
重要文件,駕照日文譯本 (必備),監理站申請，效期內
重要文件,Visit Japan Web QR Code,建議截圖存在手機相簿，以防網路不穩
重要文件,信用卡 (JCB/Visa),JCB在日本匯率/優惠較佳，建議帶兩張
重要文件,日幣現金,小店、部分停車場只收現金
重要文件,原子筆,機上填寫入境卡使用
重要文件,旅遊保險單副本,包含海外醫療急難救助電話
3C電子,手機 SIM 卡 / 漫遊,事先開通或購買，下機立即使用
3C電子,行動電源 (10000mAh),自駕導航耗電快，隨身攜帶
3C電子,手機充電線 (2條以上),車上、飯店都需要
3C電子,車用手機架,部分租車導航圖資舊，手機導航必備
3C電子,車充轉接頭 (USB/Type-C),租車點菸器擴充用，避免搶孔
3C電子,GoPro / 相機,紀錄孩子玩水畫面
3C電子,記憶卡 / 讀卡機,備份照片用
個人衣物,換洗衣物 (4-5套),夏天流汗多，飯店多有投幣洗衣機
個人衣物,薄外套 / 防曬外套,商場、飛機冷氣強，早晚溫差
個人衣物,睡衣 / 舒適家居服,雖然飯店有提供，但穿自己的較習慣
個人衣物,遮陽帽 / 墨鏡,沖繩紫外線極強
個人衣物,泳衣 / 泳褲 / 泳帽,玩水必備，建議備兩套替換
個人衣物,沙灘拖鞋 / 涼鞋,進出沙灘方便清洗
個人衣物,貼身衣物 / 襪子,多帶以備不時之需
盥洗/美妝,牙刷 / 牙膏,日本環保政策，部分飯店不主動提供
盥洗/美妝,洗面乳 / 保養品旅行組,
盥洗/美妝,防曬乳 (高係數),推薦安耐曬金瓶，隨時補擦
盥洗/美妝,化妝品 / 卸妝油,
盥洗/美妝,刮鬍刀,
嬰兒用品,輕便推車 (可登機),必備！午睡神器，商場也好推
嬰兒用品,尿布 (帶2天份),佔空間，剩下當地藥妝店買就好
嬰兒用品,濕紙巾 (純水厚型),多帶！擦手、擦嘴、擦屁股
嬰兒用品,奶粉 / 保久乳 / 零食,飛機起降安撫、車上止餓
嬰兒用品,學習筷 / 湯匙 / 食物剪,餐廳提供的餐具未必適合幼兒
嬰兒用品,兒童水壺,隨時補水，避免中暑
嬰兒用品,安撫玩具 / 小被被,睡覺認床時需要
嬰兒用品,防走失包 / AirTag,人多景點掛在小孩身上
嬰兒用品,兒童泳圈 / 玩沙工具,當地買較貴，自帶划算
藥品,退燒藥 (水劑/塞劑),知會兒科醫師開立備用
藥品,體溫計 / 耳溫槍,每日監測
藥品,益生菌 / 腸胃藥,預防水土不服
藥品,外傷藥膏 / OK繃,小孩跌倒必備
藥品,蚊蟲叮咬藥 / 防蚊液,公園蚊子多
藥品,個人常備藥,過敏藥、暈車藥等
雜項,購物袋 (環保袋),日本塑膠袋皆收費，大容量為佳
雜項,雨傘 (晴雨兩用),遮陽擋雨
雜項,指甲剪,長途旅行容易指甲斷裂
雜項,密封夾 / 橡皮筋,沒吃完的零食封口用
雜項,防水袋 / 夾鏈袋,裝濕泳衣或分裝雜物
